title,link,company,location,description_summary
Desarrollador Sailpoint,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-sailpoint-en-san-nicolas-DAA6C52ECCD7AF4661373E686DCF3405#lc=ListOffers-Score6-17,C&S informática s.a.,"San Nicolás, Capital Federal",N/A (Not in list view)
Analista API Developer Ssr/Sr,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-api-developer-ssrsr-con-ingles-avanzado-en-retiro-8ACC39DF1FE2620B61373E686DCF3405#lc=ListOffers-Score6-18,Ecosistemas,"Retiro, Capital Federal",N/A (Not in list view)
Desarrollador .net,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-net-en-retiro-98876AD0E3FE4ED561373E686DCF3405#lc=ListOffers-Score6-19,AMERICA VIRTUAL S.A.,"Retiro, Capital Federal",N/A (Not in list view)
Desarrollador React Senior,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-react-senior-en-san-nicolas-74AAD00C7702A1D961373E686DCF3405#lc=ListOffers-Score6-0,C&S informática s.a.,"San Nicolás, Capital Federal",N/A (Not in list view)
Desarrollador Python Sr Experiencia en IA // Proyectos Bancarios,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-python-sr-experiencia-en-ia--proyectos-bancarios-remoto-para-residentes-en-buenos-aires-en-monserrat-65D35FC9175F421961373E686DCF3405#lc=ListOffers-Score6-1,Kaizen Recursos Humanos,"Monserrat, Capital Federal",N/A (Not in list view)
Desarrollador .Net Back End Sr,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-net-back-end-sr-remoto-buenos-aires-en-monserrat-6ACA91E53C37F73161373E686DCF3405#lc=ListOffers-Score6-2,Kaizen Recursos Humanos,"Monserrat, Capital Federal",N/A (Not in list view)
Desarrollador .NET Front End Sr,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-net-front-end-sr-full-remoto-para-buenos-aires-en-monserrat-F9BFE6873A19051861373E686DCF3405#lc=ListOffers-Score6-3,Kaizen Recursos Humanos,"Monserrat, Capital Federal",N/A (Not in list view)
Ref. 20056: Desarrollador Full Stack .Net y React Ssr,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-20056-desarrollador-full-stack-net-y-react-ssr-villa-urquiza-caba-hibrido-2-al-mes-en-villa-urquiza-0BFEFBF71584320461373E686DCF3405#lc=ListOffers-Score6-4,ADN - Recursos Humanos,"Villa Urquiza, Capital Federal",N/A (Not in list view)
Ref. 19592: Desarrollador Fullstack Senior Node JS,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-19592-desarrollador-fullstack-senior-node-js-remoto-en-recoleta-409216F5863E9B3D61373E686DCF3405#lc=ListOffers-Score6-5,ADN - Recursos Humanos,"Recoleta, Capital Federal",N/A (Not in list view)
Ref. 20182: Desarrollador Node JavaScript / Híbrido Palermo CABA,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-20182-desarrollador-node-javascript-hibrido-palermo-caba-en-palermo-896A4F8F5942334B61373E686DCF3405#lc=ListOffers-Score6-6,ADN - Recursos Humanos,"Palermo, Capital Federal",N/A (Not in list view)
Desarrollador Python y AI Sr // Poyectos Bancarios,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-python-y-ai-sr-poyectos-bancarios-microcentro-caba-en-monserrat-A6BC8A7CF793832B61373E686DCF3405#lc=ListOffers-Score6-7,Kaizen Recursos Humanos,"Monserrat, Capital Federal",N/A (Not in list view)
Programador SAP Fiori Front y Backend Semi Senior,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-programador-sap-fiori-front-y-backend-semi-senior-en-san-nicolas-9C4A549354905C3D61373E686DCF3405#lc=ListOffers-Score6-8,C&S informática s.a.,"San Nicolás, Capital Federal",N/A (Not in list view)
Desarrollador mainframe Cobol DB2 Sr/Ssr.,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-mainframe-cobol-db2-srssr-p-importante-banco-lider-del-mercado-en-parque-patricios-31435F0EFCD0129261373E686DCF3405#lc=ListOffers-Score6-9,SOLUTIX S.A. [Soluciones de Recursos en TI],"Parque Patricios, Capital Federal",N/A (Not in list view)
Programador C# .NET Jr+/Ssr.,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-programador-c-net-jrssr-p-importante-empresa-de-servicios-it-en-monserrat-3D8882175BC3C7A561373E686DCF3405#lc=ListOffers-Score6-10,SOLUTIX S.A. [Soluciones de RR.HH],"Monserrat, Capital Federal",N/A (Not in list view)
Desarrollador .NET Front End Sr,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-net-front-end-sr-full-remoto-para-buenos-aires-en-monserrat-B6B1E7158E8C3C2161373E686DCF3405#lc=ListOffers-Score6-11,Kaizen Recursos Humanos,"Monserrat, Capital Federal",N/A (Not in list view)
